,original_id,new_id,dataset,country,gender,sex
0,191.0,0.0,A,Spain,,M
1,192.0,1.0,A,Spain,,F
2,193.0,2.0,A,Spain,,F
3,194.0,3.0,A,Spain,,M
4,195.0,4.0,A,Spain,,F
5,196.0,5.0,A,Spain,,M
6,197.0,6.0,A,Spain,,M
7,198.0,7.0,A,Spain,,M
8,199.0,8.0,A,Spain,,M
9,200.0,9.0,A,Spain,,F
10,203.0,10.0,A,Spain,,F
11,204.0,11.0,A,Spain,,M
12,205.0,12.0,A,Spain,,M
13,206.0,13.0,A,Spain,,M
14,207.0,14.0,A,Spain,,M
15,208.0,15.0,A,Spain,,F
16,210.0,16.0,A,Spain,,M
17,211.0,17.0,A,Spain,,M
18,212.0,18.0,A,Spain,,M
19,213.0,19.0,A,Spain,,F
20,214.0,20.0,A,Spain,,F
21,215.0,21.0,A,Spain,,M
22,216.0,22.0,A,Spain,,F
23,217.0,23.0,A,Spain,,M
24,218.0,24.0,A,Spain,,M
25,219.0,25.0,A,Spain,,F
26,220.0,26.0,A,Spain,,M
27,221.0,27.0,A,Spain,,M
28,222.0,28.0,A,Spain,,M
29,223.0,29.0,A,Spain,,M
30,224.0,30.0,A,Spain,,F
31,225.0,31.0,A,Spain,,M
32,226.0,32.0,A,Spain,,F
33,227.0,33.0,A,Spain,,M
34,228.0,34.0,A,Spain,,F
35,229.0,35.0,A,Spain,,M
36,230.0,36.0,A,Spain,,F
37,231.0,37.0,A,Spain,,F
38,232.0,38.0,A,Spain,,M
39,233.0,39.0,A,Spain,,M
40,235.0,40.0,A,Spain,,F
41,236.0,41.0,A,Spain,,M
42,237.0,42.0,A,Spain,,M
43,238.0,43.0,A,Spain,,M
44,239.0,44.0,A,Spain,,M
45,240.0,45.0,A,Spain,,F
46,241.0,46.0,A,Spain,,M
47,242.0,47.0,A,Spain,,F
48,243.0,48.0,A,Spain,,F
49,244.0,49.0,A,Spain,,F
50,245.0,50.0,A,Spain,,F
51,247.0,51.0,A,Spain,,F
52,248.0,52.0,A,Spain,,M
53,249.0,53.0,A,Spain,,M
54,250.0,54.0,A,Spain,,F
55,251.0,55.0,A,Spain,,M
56,252.0,56.0,A,Spain,,M
57,253.0,57.0,A,Spain,,F
58,254.0,58.0,A,Spain,,M
59,255.0,59.0,A,Spain,,M
60,256.0,60.0,A,Spain,,M
61,257.0,61.0,A,Spain,,M
62,258.0,62.0,A,Spain,,F
63,259.0,63.0,A,Spain,,M
64,260.0,64.0,A,Spain,,F
65,261.0,65.0,A,Spain,,F
66,262.0,66.0,A,Spain,,F
67,263.0,67.0,A,Spain,,M
68,264.0,68.0,A,Spain,,M
69,265.0,69.0,A,Spain,,M
70,266.0,70.0,A,Spain,,M
71,267.0,71.0,A,Spain,,M
72,268.0,72.0,A,Spain,,F
73,269.0,73.0,A,Spain,,F
74,270.0,74.0,A,Spain,,M
75,271.0,75.0,A,Spain,,F
76,272.0,76.0,A,Spain,,F
77,274.0,77.0,A,Spain,,M
78,275.0,78.0,A,Spain,,M
79,276.0,79.0,A,Spain,,F
80,277.0,80.0,A,Spain,,F
81,278.0,81.0,A,Spain,,F
82,279.0,82.0,A,Spain,,F
83,280.0,83.0,A,Spain,,M
84,284.0,84.0,A,Spain,,M
85,285.0,85.0,A,Spain,,M
86,286.0,86.0,A,Spain,,F
87,288.0,87.0,A,Spain,,F
88,290.0,88.0,A,Spain,,M
89,292.0,89.0,A,Spain,,M
90,293.0,90.0,A,Spain,,M
91,294.0,91.0,A,Spain,,F
92,296.0,92.0,A,Spain,,F
93,297.0,93.0,A,Spain,,F
94,298.0,94.0,A,Spain,,F
95,299.0,95.0,A,Spain,,F
96,300.0,96.0,A,Spain,,F
97,301.0,97.0,A,Spain,,F
98,302.0,98.0,A,Spain,,F
99,303.0,99.0,A,Spain,,F
100,304.0,100.0,A,Spain,,F
101,305.0,101.0,A,Spain,,F
102,307.0,102.0,A,Spain,,F
103,308.0,103.0,A,Spain,,F
104,309.0,104.0,A,Spain,,F
105,310.0,105.0,A,Spain,,M
106,311.0,106.0,A,Spain,,F
107,313.0,107.0,A,Spain,,M
108,314.0,108.0,A,Spain,,F
109,315.0,109.0,A,Spain,,M
110,316.0,110.0,A,Spain,,M
111,317.0,111.0,A,Spain,,M
112,318.0,112.0,A,Spain,,F
113,320.0,113.0,A,Spain,,F
114,322.0,114.0,A,Spain,,F
115,323.0,115.0,A,Spain,,M
116,324.0,116.0,A,Spain,,M
117,326.0,117.0,A,Spain,,M
118,327.0,118.0,A,Spain,,M
119,328.0,119.0,A,Spain,,M
120,329.0,120.0,A,Spain,,M
121,331.0,121.0,A,Spain,,F
122,332.0,122.0,A,Spain,,F
123,333.0,123.0,A,Spain,,F
124,334.0,124.0,A,Spain,,M
125,335.0,125.0,A,Spain,,M
126,336.0,126.0,A,Spain,,M
127,337.0,127.0,A,Spain,,M
128,338.0,128.0,A,Spain,,M
129,339.0,129.0,A,Spain,,F
130,340.0,130.0,A,Spain,,F
131,341.0,131.0,A,Spain,,F
132,342.0,132.0,A,Spain,,M
133,343.0,133.0,A,Spain,,M
134,344.0,134.0,A,Spain,,M
135,345.0,135.0,A,Spain,,M
136,346.0,136.0,A,Spain,,F
137,347.0,137.0,A,Spain,,M
138,348.0,138.0,A,Spain,,M
139,349.0,139.0,A,Spain,,F
140,350.0,140.0,A,Spain,,M
141,351.0,141.0,A,Spain,,F
142,352.0,142.0,A,Spain,,M
143,353.0,143.0,A,Spain,,M
144,354.0,144.0,A,Spain,,M
145,355.0,145.0,A,Spain,,M
146,356.0,146.0,A,Spain,,F
147,357.0,147.0,A,Spain,,F
148,358.0,148.0,A,Spain,,F
149,359.0,149.0,A,Spain,,M
150,360.0,150.0,A,Spain,,M
151,361.0,151.0,A,Spain,,F
152,362.0,152.0,A,Spain,,M
153,364.0,153.0,A,Spain,,M
154,365.0,154.0,A,Spain,,M
155,366.0,155.0,A,Spain,,M
156,367.0,156.0,A,Spain,,F
157,368.0,157.0,A,Spain,,F
158,370.0,158.0,A,Spain,,M
159,371.0,159.0,A,Spain,,F
160,372.0,160.0,A,Spain,,F
161,373.0,161.0,A,Spain,,M
162,376.0,162.0,A,Spain,,M
163,377.0,163.0,A,Spain,,F
164,378.0,164.0,A,Spain,,F
165,379.0,165.0,A,Spain,,F
166,380.0,166.0,A,Spain,,F
167,382.0,167.0,A,Spain,,F
168,383.0,168.0,A,Spain,,M
169,384.0,169.0,A,Spain,,F
170,385.0,170.0,A,Spain,,F
171,386.0,171.0,A,Spain,,F
172,387.0,172.0,A,Spain,,M
173,388.0,173.0,A,Spain,,M
174,389.0,174.0,A,Spain,,M
175,390.0,175.0,A,Spain,,F
176,392.0,176.0,A,Spain,,F
177,394.0,177.0,A,Spain,,M
178,395.0,178.0,A,Spain,,M
